trip_id,transport_type,origin_station,destination_station,actual_arrival_delay_min,weather_condition,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_type,peak_hour
T00022,Train,Station_19,Station_41,1.0,Cloudy,21.5,57.47,13.92,2.02,No Event,0
T00023,Metro,Station_9,Station_19,23.0,Snow,7.640000000000001,46.97,12.89,14.879999999999999,Festival,0
T00024,Metro,Station_27,Station_5,19.0,Snow,7.640000000000001,40.41,7.09,17.09,Festival,0
T00025,Train,Station_34,Station_32,-3.0,Cloudy,23.72,55.98,5.95,2.36,No Event,0
T00026,Train,Station_44,Station_22,-6.0,Clear,22.41,44.85,22.01,1.66,No Event,0
T00027,Train,Station_4,Station_6,18.0,Storm,17.51,48.18,40.08,28.52,No Event,0
T00028,Metro,Station_36,Station_35,1.0,Fog,,63.49,20.47,2.37,No Event,0
T00029,Metro,Station_18,Station_22,11.0,Snow,-1.7600000000000016,48.99,17.49,15.9,Sports,0
T00030,Bus,Station_15,Station_1,13.0,Rain,26.14,63.82,20.0,10.36,No Event,0
T00031,Bus,Station_13,Station_20,-5.0,Fog,28.31,56.88,14.99,1.67,Sports,0
T00032,Metro,Station_19,Station_22,3.0,Rain,24.32,55.63,22.11,11.53,Concert,0
T00033,Train,Station_49,Station_48,5.0,Rain,13.780000000000001,51.97,14.55,7.29,Sports,0
T00034,Train,Station_6,Station_11,8.0,Clear,23.86,54.72,11.85,1.71,Festival,0
T00035,Bus,Station_48,Station_13,28.0,Rain,26.71,54.01,7.82,6.05,No Event,0
T00036,Metro,Station_12,Station_42,-20.0,Clear,22.41,57.05,18.42,1.86,No Event,0
T00037,Bus,Station_37,Station_3,1.0,Cloudy,23.67,47.34,21.13,2.1,Concert,0
T00038,Bus,Station_17,Station_9,19.0,Storm,3.0,49.45,38.11,19.08,Protest,0
T00039,Tram,Station_23,Station_12,3.0,Rain,20.4,46.44,9.43,10.96,No Event,0
T00040,Tram,Station_26,Station_23,8.0,Storm,16.26,53.23,37.79,29.38,Protest,0
T00041,Tram,Station_29,Station_14,5.0,Clear,20.33,51.78,,1.86,No Event,0
T00042,Train,Station_33,Station_33,2.0,Rain,23.55,51.61,14.05,7.1,No Event,0
T00043,Metro,Station_27,Station_18,-4.0,Fog,26.51,54.91,16.36,1.67,No Event,0
T00044,Metro,Station_25,Station_49,7.0,Cloudy,16.77,58.94,8.32,1.85,Parade,0
T00045,Metro,Station_10,Station_41,10.0,Snow,-5.08,52.44,3.85,,No Event,0
T00046,Metro,Station_47,Station_9,-2.0,Cloudy,22.65,53.58,18.21,1.4,No Event,0
T00047,Tram,Station_23,Station_23,18.0,Rain,13.55,58.05,15.3,10.41,Parade,0
T00048,Train,Station_21,Station_10,1.0,Cloudy,28.46,49.59,20.46,2.67,Sports,0
T00049,Train,Station_21,Station_19,10.0,Snow,15.850000000000001,47.94,19.0,15.74,Protest,0
T00050,Tram,Station_43,Station_47,1.0,Fog,26.83,54.67,9.34,1.04,No Event,0
T00051,Train,Station_13,Station_5,13.0,Storm,5.539999999999999,45.71,45.1,17.23,No Event,0
T00052,Tram,Station_37,Station_47,4.0,Fog,32.59,53.8,26.08,2.38,No Event,1
T00053,Metro,Station_33,Station_23,1.0,Cloudy,26.72,58.66,16.19,1.59,Sports,1
T00054,Tram,Station_24,Station_30,16.0,Snow,6.969999999999999,44.18,11.23,15.15,Concert,1
T00055,Metro,Station_44,Station_25,20.0,Storm,21.63,59.73,45.85,16.35,Concert,1
T00056,Metro,Station_11,Station_28,18.0,Snow,8.510000000000002,55.85,23.45,13.14,Sports,0
T00057,Bus,Station_17,Station_34,-6.0,Fog,22.1,49.28,17.48,1.41,No Event,0
T00058,Tram,Station_4,Station_45,13.0,Clear,29.0,53.5,12.67,1.55,Concert,0
T00059,Bus,Station_47,Station_48,10.0,Clear,32.49,54.5,16.66,1.66,No Event,0
T00060,Tram,Station_25,Station_47,8.0,Storm,14.010000000000002,50.5,44.25,16.240000000000002,No Event,0
T00061,Tram,Station_30,Station_25,14.0,Storm,15.43,52.62,50.2,17.02,No Event,0
T00062,Bus,Station_9,Station_10,41.0,Storm,5.600000000000001,48.93,40.53,15.09,Sports,0
T00063,Bus,Station_21,Station_14,13.0,Clear,25.02,52.37,20.51,2.34,Festival,0
T00064,Tram,Station_20,Station_42,-6.0,Fog,32.85,57.29,11.29,2.41,No Event,0
T00065,Train,Station_19,Station_46,14.0,Storm,12.43,61.55,43.94,35.36,No Event,0
T00066,Metro,Station_19,Station_30,1.0,Clear,20.88,50.94,12.28,2.13,No Event,0
T00067,Bus,Station_12,Station_41,-2.0,Storm,6.239999999999998,45.08,44.15,23.05,Festival,0
T00068,Metro,Station_37,Station_25,7.0,Storm,14.760000000000002,50.93,55.379999999999995,30.85,Concert,0
T00069,Train,Station_42,Station_14,18.0,Snow,-2.530000000000001,50.88,4.8,15.24,Parade,0
T00070,Train,Station_17,Station_35,12.0,Storm,6.809999999999999,46.51,46.99,33.25,Festival,0
T00071,Train,Station_37,Station_48,-2.0,Clear,25.61,53.08,9.57,1.67,No Event,0
T00072,Bus,Station_48,Station_34,-6.0,Fog,28.32,59.26,12.36,2.13,No Event,0
T00073,Train,Station_39,Station_10,-3.0,Clear,24.99,59.42,14.64,1.53,No Event,0
T00074,Bus,Station_28,Station_35,9.0,Clear,28.32,59.03,8.6,2.26,No Event,0
T00075,Train,Station_41,Station_11,15.0,Storm,14.96,52.11,44.2,28.88,No Event,0
T00076,Metro,Station_35,Station_11,-3.0,Snow,-9.670000000000002,49.13,14.01,17.09,No Event,0
T00077,Metro,Station_47,Station_21,10.0,Rain,18.99,36.32,10.78,8.96,Concert,0
T00078,Tram,Station_48,Station_21,4.0,Rain,11.920000000000002,,18.17,7.9,No Event,0
T00079,Metro,Station_18,Station_22,8.0,Rain,36.21,52.31,11.53,15.56,No Event,0
T00080,Tram,Station_14,Station_45,-3.0,Clear,19.18,50.62,8.3,2.05,No Event,0
T00081,Metro,Station_35,Station_7,5.0,Storm,-4.219999999999999,52.22,50.7,14.3,No Event,0
T00082,Bus,Station_44,Station_17,11.0,Rain,19.66,59.13,10.83,7.5,Sports,0
T00083,Metro,Station_41,Station_2,5.0,Cloudy,20.25,54.27,18.5,1.83,Sports,0
T00084,Tram,Station_7,Station_12,-9.0,Cloudy,20.44,62.33,11.2,1.47,No Event,0
T00085,Tram,Station_41,Station_42,4.0,Cloudy,20.33,58.34,14.32,2.11,Concert,0
T00086,Train,Station_13,Station_18,-7.0,Fog,27.52,60.35,8.14,2.24,No Event,0
T00087,Bus,Station_18,Station_11,11.0,Storm,20.32,,52.5,17.92,No Event,0
T00088,Metro,Station_37,Station_16,-5.0,Clear,29.9,63.16,19.04,2.07,No Event,0
T00089,Train,Station_13,Station_49,4.0,Clear,21.9,54.7,15.89,1.96,Parade,0
T00090,Metro,Station_36,Station_18,13.0,Storm,7.289999999999999,54.61,44.12,13.04,No Event,0
T00091,Metro,Station_31,Station_35,10.0,Snow,17.21,55.64,12.33,14.11,No Event,0
T00092,Train,Station_2,Station_26,-4.0,Snow,14.469999999999999,52.0,13.86,13.99,Protest,0
T00093,Train,Station_16,Station_16,-3.0,Fog,24.3,50.69,21.64,1.57,No Event,0
T00094,Train,Station_9,Station_6,17.0,Storm,13.3,50.18,37.31,24.009999999999998,No Event,0
T00095,Train,Station_9,Station_44,22.0,Snow,2.969999999999999,50.16,17.71,14.14,Festival,0
T00096,Train,Station_38,Station_43,-4.0,Fog,22.12,62.67,10.3,,No Event,0
T00097,Metro,Station_11,Station_47,18.0,Rain,20.23,51.21,16.02,5.9399999999999995,Concert,0
T00098,Train,Station_22,Station_47,9.0,Rain,22.3,56.38,19.48,8.54,Sports,0
T00099,Bus,Station_33,Station_48,21.0,Fog,15.87,47.68,5.65,2.35,Sports,0
T00100,Tram,Station_36,Station_42,26.0,Storm,4.050000000000001,57.7,51.2,39.98,Parade,0
T00101,Train,Station_45,Station_12,4.0,Rain,16.99,53.05,13.46,2.34,Protest,0
T00102,Train,Station_23,Station_13,39.0,Storm,7.859999999999999,67.74,48.870000000000005,9.28,Concert,0
T00103,Metro,Station_45,Station_4,14.0,Snow,15.079999999999998,45.64,7.11,15.52,Festival,0
T00104,Train,Station_45,Station_39,13.0,Rain,19.06,,14.13,4.57,Festival,0
T00105,Train,Station_34,Station_2,18.0,Snow,-3.6499999999999986,45.32,14.27,15.39,Parade,0
T00106,Train,Station_9,Station_26,25.0,Storm,,51.56,46.43,15.49,Sports,0
T00107,Metro,Station_24,Station_27,14.0,Storm,14.04,58.96,42.2,16.36,No Event,0
T00108,Train,Station_8,Station_27,10.0,Cloudy,12.09,54.35,13.15,1.29,Sports,1
T00109,Tram,Station_7,Station_15,8.0,Fog,,54.08,17.33,1.42,No Event,1
T00110,Metro,Station_36,Station_8,5.0,Clear,30.53,46.4,18.58,1.85,No Event,1
T00111,Tram,Station_18,Station_7,-6.0,Fog,27.65,43.64,5.92,2.15,No Event,1
T00112,Metro,Station_3,Station_47,28.0,Storm,6.719999999999999,58.14,46.0,25.89,Festival,0
T00113,Train,Station_28,Station_46,7.0,Storm,14.32,55.55,41.16,11.76,No Event,0
T00114,Tram,Station_6,Station_40,7.0,Fog,21.51,47.64,21.03,1.57,Sports,0
T00115,Metro,Station_44,Station_12,19.0,Storm,-4.23,55.03,45.86,16.82,No Event,0
T00116,Bus,Station_44,Station_13,36.0,Snow,0.3999999999999986,47.07,12.59,13.93,No Event,0
T00117,Train,Station_21,Station_43,2.0,Rain,24.33,48.66,13.96,1.6,No Event,0
T00118,Metro,Station_28,Station_17,14.0,Storm,2.780000000000001,51.28,56.16,26.89,Concert,0
T00119,Bus,Station_40,Station_17,11.0,Fog,,57.13,20.75,1.68,Festival,0
T00120,Metro,Station_1,Station_36,-7.0,Fog,30.36,63.12,8.35,2.35,No Event,0
T00121,Bus,Station_36,Station_21,9.0,Fog,32.33,57.53,16.29,1.63,No Event,0
T00122,Train,Station_21,Station_8,6.0,Cloudy,14.84,46.16,9.42,2.56,Concert,0
T00123,Tram,Station_43,Station_5,0.0,Snow,3.8000000000000007,45.56,9.08,16.03,No Event,0
T00124,Bus,Station_35,Station_26,21.0,Snow,8.920000000000002,46.11,5.74,13.86,No Event,0
T00125,Metro,Station_13,Station_16,-3.0,Cloudy,14.73,49.91,9.16,1.97,No Event,0
T00126,Train,Station_49,Station_36,12.0,Snow,4.789999999999999,46.65,9.0,13.98,Concert,0
T00127,Bus,Station_10,Station_28,23.0,Cloudy,27.83,57.55,2.68,1.96,No Event,0
T00128,Metro,Station_44,Station_29,4.0,Snow,3.3000000000000007,57.540000000000006,12.38,14.91,No Event,0
T00129,Metro,Station_47,Station_47,2.0,Cloudy,27.77,57.29,16.69,1.6,Parade,0
T00130,Metro,Station_10,Station_12,12.0,Cloudy,21.07,55.23,10.28,2.68,Sports,0
T00131,Bus,Station_46,Station_37,19.0,Snow,11.760000000000002,50.3,9.42,14.4,No Event,0
T00132,Bus,Station_13,Station_30,11.0,Cloudy,29.799999999999997,57.73,15.98,2.0,No Event,0
T00133,Bus,Station_37,Station_23,23.0,Snow,7.469999999999999,43.7,11.79,14.85,No Event,0
T00134,Tram,Station_38,Station_16,-1.0,Cloudy,16.52,56.52,4.89,1.91,No Event,0
T00135,Bus,Station_24,Station_14,3.0,Fog,31.02,56.23,16.56,2.08,No Event,0
T00136,Bus,Station_2,Station_10,-2.0,Clear,34.61,57.0,11.01,1.72,No Event,0
T00137,Bus,Station_22,Station_7,-10.0,Snow,-2.3900000000000006,44.72,16.56,14.27,No Event,0
T00138,Tram,Station_17,Station_45,11.0,Cloudy,33.79,58.52,17.49,1.72,Festival,0
T00139,Bus,Station_36,Station_37,1.0,Fog,20.26,51.25,9.86,1.82,Festival,0
T00140,Metro,Station_14,Station_29,-2.0,Clear,26.06,52.62,22.93,2.43,No Event,0
T00141,Bus,Station_10,Station_3,14.0,Cloudy,17.82,56.63,12.05,2.4,Concert,0
T00142,Metro,Station_35,Station_15,-1.0,Clear,22.53,55.18,11.09,1.89,No Event,0
T00143,Metro,Station_25,Station_36,14.0,Snow,2.17,52.61,16.02,15.33,Concert,0
T00144,Metro,Station_3,Station_47,-4.0,Clear,22.71,41.66,22.37,,No Event,0
T00145,Tram,Station_47,Station_46,12.0,Rain,20.56,58.05,18.2,9.620000000000001,Festival,0
T00146,Tram,Station_38,Station_19,16.0,Storm,8.309999999999999,52.71,45.47,28.63,Festival,0
T00147,Tram,Station_17,Station_13,14.0,Rain,12.600000000000001,52.04,17.59,1.76,No Event,0
T00148,Bus,Station_12,Station_42,21.0,Snow,-2.379999999999999,45.18,19.51,15.870000000000001,Sports,1
T00149,Metro,Station_24,Station_21,16.0,Snow,25.299999999999997,45.74,25.17,12.91,Concert,1
T00150,Tram,Station_29,Station_37,5.0,Clear,23.12,51.99,6.46,2.29,No Event,1
T00151,Tram,Station_43,Station_27,4.0,Fog,37.41,51.94,10.7,2.31,Concert,1
T00152,Bus,Station_25,Station_29,33.0,Cloudy,12.92,51.0,10.6,2.16,Concert,0
T00153,Tram,Station_36,Station_20,22.0,Storm,10.54,50.57,47.72,16.91,Festival,0
T00154,Bus,Station_26,Station_25,20.0,Cloudy,15.86,49.96,7.17,1.87,Sports,0
T00155,Train,Station_38,Station_6,-5.0,Fog,28.17,55.64,15.61,2.44,No Event,0
T00156,Tram,Station_1,Station_36,15.0,Snow,5.370000000000001,55.42,10.02,15.08,Protest,0
T00157,Train,Station_20,Station_2,12.0,Storm,-1.1999999999999993,47.63,48.25,18.3,Parade,0
T00158,Bus,Station_28,Station_22,11.0,Rain,19.7,56.05,22.39,3.02,No Event,0
T00159,Metro,Station_16,Station_32,11.0,Snow,12.68,55.8,8.14,13.58,No Event,0
T00160,Tram,Station_47,Station_16,5.0,Snow,18.11,45.91,14.6,14.36,Sports,0
T00161,Bus,Station_17,Station_18,36.0,Clear,7.59,54.52,20.1,2.26,Parade,0
T00162,Metro,Station_40,Station_5,-3.0,Fog,22.49,58.92,20.42,2.04,No Event,0
T00163,Metro,Station_28,Station_36,-7.0,Clear,31.21,49.51,18.44,1.73,No Event,0
T00164,Train,Station_12,Station_30,-9.0,Clear,23.07,52.47,23.14,2.07,No Event,0
T00165,Bus,Station_27,Station_45,21.0,Cloudy,23.69,42.85,15.71,2.02,Sports,0
T00166,Metro,Station_42,Station_19,15.0,Snow,-1.6799999999999997,39.64,20.31,14.86,Festival,0
T00167,Tram,Station_47,Station_23,2.0,Fog,24.47,52.54,14.54,1.93,No Event,0
T00168,Tram,Station_30,Station_34,3.0,Clear,24.54,49.49,18.41,1.61,No Event,0
T00169,Train,Station_41,Station_13,30.0,Rain,15.219999999999999,52.37,12.0,8.08,Festival,0
T00170,Metro,Station_34,Station_43,12.0,Storm,5.649999999999999,47.14,51.760000000000005,,No Event,0
T00171,Bus,Station_37,Station_29,14.0,Fog,25.4,46.85,17.32,2.11,Festival,0
T00172,Tram,Station_6,Station_36,1.0,Cloudy,23.02,50.1,19.85,1.9,No Event,0
T00173,Metro,Station_7,Station_22,1.0,Fog,28.47,56.89,19.72,1.62,No Event,0
T00174,Metro,Station_32,Station_47,12.0,Snow,1.4800000000000004,56.29,22.24,15.31,No Event,0
T00175,Train,Station_32,Station_36,3.0,Cloudy,25.02,,22.49,1.38,Concert,0
T00176,Tram,Station_25,Station_9,22.0,Storm,20.63,54.31,44.21,26.08,Festival,0
T00177,Tram,Station_33,Station_39,10.0,Rain,16.78,38.27,5.88,8.28,Parade,0
T00178,Bus,Station_7,Station_19,6.0,Clear,31.01,48.95,18.72,2.34,Protest,0
T00179,Tram,Station_12,Station_38,1.0,Fog,31.19,54.54,12.12,1.56,No Event,0
T00180,Bus,Station_16,Station_6,10.0,Cloudy,20.82,55.79,13.94,2.16,No Event,0
T00181,Tram,Station_16,Station_47,9.0,Storm,19.4,39.62,36.28,29.3,No Event,0
T00182,Train,Station_43,Station_15,1.0,Clear,,52.53,18.78,1.19,Festival,0
T00183,Tram,Station_36,Station_20,16.0,Storm,13.89,48.43,28.05,22.0,No Event,0
T00184,Bus,Station_13,Station_9,21.0,Rain,13.079999999999998,55.45,5.94,-0.7799999999999998,Parade,0
T00185,Bus,Station_7,Station_32,26.0,Clear,18.1,53.67,12.58,1.66,Parade,0
T00186,Train,Station_36,Station_4,0.0,Clear,26.03,57.72,12.27,2.16,No Event,0
T00187,Tram,Station_47,Station_50,6.0,Clear,29.57,61.08,13.98,2.02,Festival,0
T00188,Tram,Station_9,Station_18,10.0,Cloudy,19.91,58.51,15.82,1.21,Parade,0
T00189,Train,Station_32,Station_5,-2.0,Clear,25.86,47.47,15.37,1.4,Protest,0
T00190,Tram,Station_11,Station_20,41.0,Storm,17.07,45.47,49.519999999999996,30.89,Concert,0
T00191,Tram,Station_8,Station_23,-6.0,Cloudy,25.62,47.7,19.29,2.06,Protest,0
T00192,Bus,Station_33,Station_11,6.0,Clear,23.65,54.09,13.89,2.19,No Event,0
T00193,Tram,Station_23,Station_37,24.0,Storm,13.170000000000002,54.78,32.04,31.92,Concert,0
T00194,Tram,Station_25,Station_22,8.0,Storm,30.08,56.93,51.67,14.2,No Event,0
T00195,Train,Station_8,Station_4,-8.0,Fog,38.47,56.04,8.56,1.53,No Event,0
T00196,Train,Station_45,Station_29,23.0,Storm,21.93,60.01,47.13,16.98,Festival,0
T00197,Metro,Station_22,Station_44,12.0,Snow,9.619999999999997,44.35,23.05,16.16,Concert,0
T00198,Bus,Station_4,Station_34,-6.0,Rain,18.92,50.53,12.26,14.24,No Event,0
T00199,Tram,Station_40,Station_13,7.0,Clear,25.34,58.34,14.6,2.71,No Event,0
T00200,Tram,Station_3,Station_42,7.0,Clear,32.24,47.4,9.39,2.06,Parade,0
T00201,Metro,Station_29,Station_9,8.0,Clear,24.5,55.74,18.46,1.67,Festival,0
T00202,Tram,Station_41,Station_42,3.0,Storm,14.559999999999999,63.47,37.41,16.09,No Event,0
T00203,Bus,Station_29,Station_31,45.0,Storm,12.41,57.21,34.9,17.82,Parade,0
T00204,Metro,Station_34,Station_7,7.0,Clear,29.18,54.91,18.36,2.09,No Event,1
T00205,Bus,Station_34,Station_4,16.0,Snow,6.120000000000001,54.02,16.45,15.66,Concert,1
T00206,Metro,Station_28,Station_19,3.0,Cloudy,22.07,46.93,7.55,2.17,Sports,1
T00207,Metro,Station_13,Station_42,13.0,Cloudy,13.219999999999999,57.79,11.36,2.22,Festival,1
T00208,Train,Station_15,Station_30,9.0,Rain,22.89,54.61,16.81,12.83,Festival,0
T00209,Bus,Station_23,Station_31,5.0,Fog,27.22,56.53,6.33,2.08,No Event,0
T00210,Tram,Station_44,Station_35,5.0,Rain,21.22,53.15,17.77,0.42999999999999994,Concert,0
T00211,Tram,Station_26,Station_21,2.0,Clear,24.14,64.46,23.27,2.45,No Event,0
T00212,Bus,Station_4,Station_31,4.0,Clear,23.38,54.74,13.42,1.57,No Event,0
T00213,Tram,Station_26,Station_19,-1.0,Clear,23.43,59.79,14.24,1.77,No Event,0
T00214,Tram,Station_40,Station_31,-3.0,Fog,25.29,55.97,25.9,2.31,No Event,0
T00215,Bus,Station_9,Station_32,22.0,Storm,2.530000000000001,49.73,28.98,20.23,No Event,0
T00216,Metro,Station_5,Station_2,-7.0,Fog,,46.23,22.92,1.66,No Event,0
T00217,Bus,Station_32,Station_10,17.0,Rain,18.75,,11.14,0.33000000000000007,Concert,0
T00218,Metro,Station_20,Station_2,23.0,Storm,18.15,55.73,38.54,24.63,Sports,0
T00219,Tram,Station_50,Station_2,17.0,Storm,16.58,51.79,51.19,22.49,No Event,0
T00220,Tram,Station_11,Station_24,32.0,Rain,24.43,54.9,9.64,5.32,Parade,0
T00221,Tram,Station_15,Station_17,13.0,Storm,-0.14000000000000057,50.69,37.629999999999995,36.74,No Event,0
T00222,Train,Station_32,Station_32,-5.0,Cloudy,25.96,52.15,19.69,1.71,No Event,0
T00223,Metro,Station_28,Station_16,5.0,Rain,15.350000000000001,56.84,14.92,8.07,No Event,0
T00224,Train,Station_22,Station_16,6.0,Rain,23.76,47.06,15.41,10.69,No Event,0
T00225,Train,Station_41,Station_46,-7.0,Cloudy,15.510000000000002,,16.74,2.21,No Event,0
T00226,Bus,Station_17,Station_39,10.0,Fog,25.62,53.85,14.29,2.29,Festival,0
T00227,Train,Station_26,Station_31,-2.0,Fog,27.38,52.6,16.68,1.61,No Event,0
T00228,Bus,Station_44,Station_43,2.0,Fog,23.23,47.69,12.7,2.35,No Event,0
T00229,Bus,Station_7,Station_24,6.0,Storm,11.879999999999999,62.12,48.3,13.27,No Event,0
T00230,Train,Station_42,Station_1,4.0,Cloudy,20.24,51.27,14.66,2.09,Festival,0
T00231,Metro,Station_26,Station_11,4.0,Rain,23.31,54.1,12.14,9.96,No Event,0
T00232,Metro,Station_25,Station_21,2.0,Rain,21.81,58.69,12.74,3.79,Festival,0
T00233,Metro,Station_10,Station_4,4.0,Rain,18.98,51.81,25.54,14.879999999999999,No Event,0
T00234,Metro,Station_45,Station_7,6.0,Storm,7.289999999999999,49.54,42.89,21.66,No Event,0
T00235,Metro,Station_19,Station_26,18.0,Storm,10.809999999999999,51.3,47.06,29.16,No Event,0
T00236,Train,Station_11,Station_47,14.0,Snow,-5.18,49.45,13.09,16.22,Protest,0
T00237,Train,Station_13,Station_50,-1.0,Fog,28.33,57.22,12.67,1.37,Sports,0
T00238,Tram,Station_8,Station_12,3.0,Snow,14.149999999999999,52.08,20.85,14.19,No Event,0
T00239,Metro,Station_40,Station_31,7.0,Snow,7.739999999999998,48.84,17.35,,No Event,0
T00240,Train,Station_4,Station_17,21.0,Storm,7.27,53.97,42.769999999999996,26.1,No Event,0
T00241,Tram,Station_47,Station_33,7.0,Fog,22.46,48.5,17.73,1.69,No Event,0
T00242,Metro,Station_31,Station_11,1.0,Fog,20.8,61.3,20.18,,No Event,0
T00243,Bus,Station_28,Station_28,9.0,Rain,20.24,53.77,21.0,-1.7599999999999998,Festival,0
T00244,Tram,Station_11,Station_32,35.0,Storm,9.82,46.36,39.81,31.55,Sports,1
T00245,Train,Station_43,Station_1,3.0,Fog,13.06,57.61,17.24,2.02,No Event,1
T00246,Bus,Station_1,Station_47,37.0,Snow,15.420000000000002,41.38,11.29,15.98,Parade,1
T00247,Bus,Station_49,Station_28,10.0,Cloudy,11.54,53.66,15.47,2.29,Festival,1
T00248,Bus,Station_47,Station_42,10.0,Cloudy,19.02,47.5,18.88,1.94,No Event,0
T00249,Tram,Station_38,Station_7,8.0,Storm,14.940000000000001,47.01,48.53,30.56,No Event,0
T00250,Train,Station_24,Station_2,4.0,Rain,10.969999999999999,48.69,22.77,3.55,Festival,0
T00251,Bus,Station_47,Station_42,-4.0,Rain,12.73,58.69,16.1,6.48,Concert,0
T00252,Metro,Station_31,Station_24,-1.0,Fog,15.16,53.45,10.23,,No Event,0
T00253,Bus,Station_41,Station_4,42.0,Storm,,48.45,39.82,25.9,Sports,0
T00254,Bus,Station_46,Station_44,16.0,Cloudy,15.690000000000001,49.32,22.67,2.05,No Event,0
T00255,Tram,Station_50,Station_19,17.0,Snow,7.16,,9.91,14.21,Festival,0
T00256,Tram,Station_26,Station_26,-3.0,Fog,24.47,,12.4,1.37,No Event,0
T00257,Train,Station_49,Station_11,16.0,Snow,12.670000000000002,55.4,16.65,14.58,Concert,0
T00258,Metro,Station_50,Station_40,0.0,Fog,20.79,51.83,25.13,1.92,No Event,0
T00259,Tram,Station_5,Station_50,-5.0,Clear,23.73,50.51,22.88,1.33,No Event,0
T00260,Bus,Station_20,Station_43,23.0,Snow,7.420000000000002,49.56,9.38,15.56,No Event,0
T00261,Train,Station_41,Station_11,7.0,Storm,15.629999999999999,58.73,48.19,15.09,No Event,0
T00262,Bus,Station_11,Station_45,31.0,Snow,-6.050000000000001,47.83,5.05,14.629999999999999,Sports,0
T00263,Bus,Station_33,Station_3,14.0,Snow,11.61,48.36,17.18,14.92,No Event,0
T00264,Tram,Station_50,Station_12,6.0,Fog,24.91,58.06,16.39,1.94,No Event,0
T00265,Train,Station_38,Station_3,2.0,Cloudy,23.51,51.39,20.21,2.05,No Event,0
T00266,Metro,Station_27,Station_42,2.0,Clear,,58.63,11.43,2.23,Concert,0
T00267,Metro,Station_34,Station_27,12.0,Snow,5.59,43.87,23.56,15.370000000000001,No Event,0
T00268,Tram,Station_15,Station_49,-4.0,Cloudy,25.76,54.84,15.26,2.69,No Event,0
T00269,Tram,Station_32,Station_2,7.0,Rain,18.06,53.36,21.77,7.33,Festival,0
T00270,Train,Station_21,Station_49,1.0,Clear,20.14,58.45,19.63,1.48,No Event,0
T00271,Metro,Station_46,Station_16,8.0,Clear,22.21,50.66,19.14,2.18,Festival,0
T00272,Metro,Station_5,Station_2,-8.0,Fog,16.27,57.56,9.96,2.05,No Event,0
T00273,Metro,Station_6,Station_30,14.0,Snow,4.899999999999999,56.55,13.78,14.75,Concert,0
T00274,Bus,Station_38,Station_20,9.0,Rain,20.15,47.35,14.86,-6.0600000000000005,No Event,0
T00275,Metro,Station_22,Station_38,-4.0,Fog,18.58,61.5,15.99,2.2,Protest,0
T00276,Bus,Station_18,Station_28,19.0,Storm,14.280000000000001,49.73,51.83,26.7,No Event,0
T00277,Train,Station_14,Station_25,-3.0,Cloudy,28.33,61.9,15.77,1.84,No Event,0
T00278,Bus,Station_10,Station_32,-4.0,Cloudy,15.46,59.14,4.47,2.24,No Event,0
